patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Quang Vũ,761709208652,08/05/1954,0773051522,hoangjohn@example.net,"338 Nam Trần, 895667",Tiểu đường,4.16,Quý cô Thành Vũ,31/01/2026
562b0f79-c374-49ee-b50b-ea63371ecd7b,Bà Nhật Lê,350718259671,09/07/1948,0797087392,ele@example.net,"18 Trung Hữu Bùi, 338968",Tim mạch,7.75,Vũ Phạm,20/01/2026
a2bc372f-7412-4293-8729-4739614ff3d7,Khoa Đặng Đặng,518524766411,15/11/1963,0991371241,dle@example.org,"64 Jane Đường
Kim Nguyễn, 380746",Huyết áp cao,4.49,Lâm Hoàng,03/03/2026
654821d0-7fcd-4eb1-a7ca-d415366eb16f,Phương Hoàng Mai,952367084768,03/12/1968,0519109514,buijane@example.org,"7 Anh Trung Mai, 166613",Khỏe mạnh,7.93,Kim Mai Mai,18/02/2026
f143262f-dc5c-4eed-8da0-365bf89897b9,Châu Hoàng,731688886896,03/09/1971,0735888934,janemai@example.org,"2 Hải Xuân Hoàng, 916449",Khỏe mạnh,9.37,Duyên Đặng,05/04/2026
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,Ánh Nguyễn,807697366816,21/02/1968,0865485157,buijohn@example.net,"Phương Văn Lê
89 Phương Văn Lê, 847581",Khỏe mạnh,5.4,Thành Đặng,27/03/2026
1efa2197-7394-488f-847f-d9b4e64d1bcb,Bà Phương Mai Đặng,875523092941,22/03/1938,0320162132,lejane@example.com,"105 Hải Trần, 238739",Tiểu đường,8.05,Anh Châu Bùi,06/02/2026
6e595ed3-a8b3-47fa-98d0-752b1825bc54,Bác Quang Bùi,426304552810,24/09/1942,0895954161,jane73@example.com,"338 Yến Dương, 179046",Huyết áp cao,8.49,Ông Hưng Mai,03/01/2026
c0e9ab30-ed26-42e9-97e0-11b7f8102383,Cô Hải Phạm,171051561968,14/11/2000,0774529278,duongjane@example.com,"74 An Văn Nguyễn, 161324",Tim mạch,9.94,Yến Đặng,12/01/2026
80bacd64-7a0e-4fea-958c-a9ba0cd620c2,Tùng Hoàng Bùi,129505337992,25/08/1960,0921444528,hoangjohn@example.org,"939 Vũ Thế Dương, 802258",Tiểu đường,9.14,Quang Đức Bùi,26/01/2026
750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,Cô Bảo Trần,483825321842,19/12/1948,0921551262,buijohn@example.com,"354 Vũ Nguyễn, 377312",Khỏe mạnh,4.39,Hà Mai,31/01/2026
35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,Trung Đức Mai,490543836771,06/11/2001,0367046758,john80@example.net,"427 Mai Đường
Ông Nhiên Nguyễn, 137778",Tim mạch,3.79,Nhiên Trí Bùi,25/01/2026
