patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Quang Phạm,187870469204,08/05/1954,0335581249,maijohn@example.net,"338 John Số
Thị xã JaneThành phố, 895667",Tiểu đường,4.16,Quý cô Thành Vũ,31/01/2026
562b0f79-c374-49ee-b50b-ea63371ecd7b,Hà Bùi,676188684708,09/07/1948,0857550680,jane94@example.org,"18 Hoàng Tổ
Thành phố JohnPhường, 338968",Tim mạch,7.75,Vũ Phạm,20/01/2026
a2bc372f-7412-4293-8729-4739614ff3d7,Phúc Phú Đặng,993387420517,15/11/1963,0783292268,john92@example.net,"64 Jane Đường
Thành phố JaneThị xã, 380746",Huyết áp cao,4.49,Lâm Hoàng,03/03/2026
654821d0-7fcd-4eb1-a7ca-d415366eb16f,Anh Anh Lê,116609596014,03/12/1968,0962099251,jane96@example.com,"7 John Ngõ
Quận JaneXã, 166613",Khỏe mạnh,7.93,Kim Mai Mai,18/02/2026
f143262f-dc5c-4eed-8da0-365bf89897b9,Dương Trần,790709707544,03/09/1971,0587639180,john46@example.org,"2 Jane Làng
Huyện JohnXã, 916449",Khỏe mạnh,9.37,Duyên Đặng,05/04/2026
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,Quang Nguyễn,057807519221,21/02/1968,0773343951,tranjane@example.org,"Quận JaneXã
89 Phạm Làng, 847581",Khỏe mạnh,5.4,Thành Đặng,27/03/2026
1efa2197-7394-488f-847f-d9b4e64d1bcb,Chị Hương Đặng,255107892120,22/03/1938,0804807218,johnnguyen@example.org,"105 John Khu
JohnXã, 238739",Tiểu đường,8.05,Anh Châu Bùi,06/02/2026
6e595ed3-a8b3-47fa-98d0-752b1825bc54,Huy Bảo Dương,929595837243,24/09/1942,0345369592,nguyenjane@example.net,"338 Lê Số
Huyện JaneQuận, 179046",Huyết áp cao,8.49,Ông Hưng Mai,03/01/2026
c0e9ab30-ed26-42e9-97e0-11b7f8102383,Chị Hồng Dương,481515788721,14/11/2000,0527952562,janenguyen@example.org,"74 Mai Dãy
Quận JaneQuận, 161324",Tim mạch,9.94,Yến Đặng,12/01/2026
80bacd64-7a0e-4fea-958c-a9ba0cd620c2,Cô Phương Trần,944103444627,25/08/1960,0955188274,hoangjohn@example.net,"939 John Số
JaneQuận, 802258",Tiểu đường,9.14,Quang Đức Bùi,26/01/2026
750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,Vũ Văn Dương,978405978463,19/12/1948,0576881611,maijohn@example.net,"354 Jane Khu
Huyện JohnQuận, 377312",Khỏe mạnh,4.39,Hà Mai,31/01/2026
35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,Trung Đức Mai,786408165678,06/11/2001,0736163453,john16@example.com,"427 Mai Đường
Thành phố JohnXã, 137778",Tim mạch,3.79,Nhiên Trí Bùi,25/01/2026
e623a689-5d59-4d2a-8eea-04e70ab54bde,Xuân Đặng,778943755071,13/12/1963,0587118654,johndang@example.net,"2 John Hẻm
JohnQuận, 872343",Khỏe mạnh,5.32,Huy Hải Vũ,31/01/2026
